PROCEDIMENTO,RN,VIGÊNCIA,Seg. Odontológica,Seg. Ambulatória,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
SINEQUIOTOMIA (LASER OU CIRÚRGICA),NULL,NULL,NULL,AMB,HCO,HSO,REF,NULL,NULL,ÍRIS E CORPO CILIAR,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA DE MÚSCULOS,NULL,NULL,NULL,AMB,HCO,HSO,REF,NULL,NULL,MÚSCULOS,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CIRURGIA COM SUTURA AJUSTÁVEL,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,MÚSCULOS,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ESTRABISMO CICLO VERTICAL/TRANSPOSIÇÃO,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,MÚSCULOS,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ESTRABISMO HORIZONTAL,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,MÚSCULOS,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
APLICAÇÃO DE PLACA RADIATIVA EPISCLERAL,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,RETINA,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA DE RETINA,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,RETINA,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EXÉRESE DE TUMOR DE CORÓIDE E/OU CORPO CILIAR,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,RETINA,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FOTOCOAGULAÇÃO (LASER),NULL,NULL,NULL,AMB,HCO,HSO,REF,NULL,NULL,RETINA,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"IMPLANTE INTRAVÍTREO DE POLÍMERO FARMACOLÓGICO DE LIBERAÇÃO CONTROLADA (COM DIRETRIZ DEUTILIZAÇÃO)",NULL,NULL,NULL,AMB,HCO,HSO,REF,NULL,46,RETINA,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
MAPEAMENTO DE RETINA (FUNDOSCOPIA),NULL,NULL,NULL,AMB,HCO,HSO,REF,NULL,NULL,RETINA,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PANCRIOTERAPIA PERIFÉRICA,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,RETINA,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PANTOFOTOCOAGULAÇÃO Á LASER NA RETINOPATIA DA PREMATURIDADE (COM DIRETRIZ DE UTILIZAÇÃO),NULL,NULL,NULL,AMB,HCO,HSO,REF,NULL,59,RETINA,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
REMOÇÃO DE IMPLANTE EPISCLERAL,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,RETINA,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RETINOPEXIA COM INTROFLEXÃO ESCLERAL,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,RETINA,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RETINOPEXIA PNEUMÁTICA,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,RETINA,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RETINOPEXIA PROFILÁTICA (CRIOPEXIA),NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,RETINA,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TERMOTERAPIA TRANSPUPILAR A LASER (COM DIRETRIZ DE UTILIZAÇÃO),NULL,NULL,NULL,AMB,HCO,HSO,REF,NULL,66,RETINA,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CIRURGIA DA GLÂNDULA LACRIMAL,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,VIAS LACRIMAIS,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DACRIOCISTECTOMIA,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,VIAS LACRIMAIS,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DACRIOCISTORRINOSTOMIA COM OU SEM INTUBAÇÃO,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,VIAS LACRIMAIS,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FECHAMENTO DOS PONTOS LACRIMAIS,NULL,NULL,NULL,AMB,HCO,HSO,REF,NULL,NULL,VIAS LACRIMAIS,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RECONSTITUIÇÃO DE VIAS LACRIMAIS COM SILICONE OU OUTRO MATERIAL,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,VIAS LACRIMAIS,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
SONDAGEM DAS VIAS LACRIMAIS - COM OU SEM LAVAGEM,NULL,NULL,NULL,AMB,HCO,HSO,REF,NULL,NULL,VIAS LACRIMAIS,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA DE PAVILHÃO AURICULAR,NULL,NULL,NULL,AMB,HCO,HSO,REF,NULL,NULL,PAVILHÃO AURICULAR,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EXÉRESE DE TUMOR,NULL,NULL,NULL,AMB,HCO,HSO,REF,NULL,NULL,PAVILHÃO AURICULAR,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EXÉRESE DE TUMOR COM ABORDAGEM CRANIOFACIAL ONCOLÓGICA PAVILHÃO AURICULAR (TEMPO FACIAL),NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,PAVILHÃO AURICULAR,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RECONSTRUÇÃO DE ORELHA,NULL,NULL,NULL,AMB,HCO,HSO,REF,NULL,NULL,PAVILHÃO AURICULAR,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RECONSTRUÇÃO DE UNIDADE ANATÔMICA DO PAVILHÃO AURICULAR,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,PAVILHÃO AURICULAR,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RECONSTRUÇÃO TOTAL DE ORELHA,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,PAVILHÃO AURICULAR,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RESSECÇÃO DE ORELHA,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,PAVILHÃO AURICULAR,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"RESSECÇÃO DE TUMOR DE PAVILHÃO AURICULAR, INCLUINDO PARTE DO OSSO TEMPORAL",NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,PAVILHÃO AURICULAR,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO DE SINUS PRÉ-AURICULAR,NULL,NULL,NULL,AMB,HCO,HSO,REF,NULL,NULL,PAVILHÃO AURICULAR,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ASPIRAÇÃO AURICULAR OU CURATIVO,NULL,NULL,NULL,AMB,HCO,HSO,REF,NULL,NULL,ORELHA EXTERNA,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA DE ORELHA EXTERNA,NULL,NULL,NULL,AMB,HCO,HSO,REF,NULL,NULL,ORELHA EXTERNA,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ESTENOSE DE CONDUTO AUDITIVO EXTERNO - CORREÇÃO,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,ORELHA EXTERNA,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EXÉRESE DE CISTO PRÉ-AURICULAR,NULL,NULL,NULL,AMB,NULL,NULL,REF,NULL,NULL,ORELHA EXTERNA,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FURÚNCULO - DRENAGEM,NULL,NULL,NULL,AMB,NULL,NULL,REF,NULL,NULL,ORELHA EXTERNA,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PERICONDRITE DE PAVILHÃO - TRATAMENTO CIRÚRGICO,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,ORELHA EXTERNA,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RETIRADA DE CORPOS ESTRANHOS OU PÓLIPOS E OU BIÓPSIA,NULL,NULL,NULL,AMB,HCO,HSO,REF,NULL,NULL,ORELHA EXTERNA,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TUMOR DE CONDUTO AUDITIVO EXTERNO - EXÉRESE,NULL,NULL,NULL,AMB,HCO,HSO,REF,NULL,NULL,ORELHA EXTERNA,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CAUTERIZAÇÃO DE MEMBRANA TIMPÂNICA,NULL,NULL,NULL,AMB,HCO,HSO,REF,NULL,NULL,ORELHA MÉDIA,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DUCHA DE POLITZER OU CURATIVO DE OUVIDO,NULL,NULL,NULL,AMB,HCO,HSO,REF,NULL,NULL,ORELHA MÉDIA,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ESTAPEDECTOMIA OU ESTAPEDOTOMIA,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,ORELHA MÉDIA,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EXPLORAÇÃO E DESCOMPRESSÃO DO NERVO FACIAL INTRATEMPORAL,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,ORELHA MÉDIA,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FÍSTULA PERILINFÁTICA - FECHAMENTO CIRÚRGICO,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,ORELHA MÉDIA,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
GLOMUS JUGULAR - RESSECÇÃO,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,ORELHA MÉDIA,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
GLOMUS TIMPÂNICUS - RESSECÇÃO,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,ORELHA MÉDIA,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
MASTOIDECTOMIA,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,ORELHA MÉDIA,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
OUVIDO CONGÊNITO - TRATAMENTO CIRÚRGICO,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,ORELHA MÉDIA,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PARACENTESE DO TÍMPANO - MIRINGOTOMIA,NULL,NULL,NULL,AMB,HCO,HSO,REF,NULL,NULL,ORELHA MÉDIA,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
IMPLANTE DE PRÓTESE AUDITIVA ANCORADA NO OSSO (COM DIRETRIZ DE UTILIZAÇÃO),NULL,NULL,NULL,NULL,HCO,HSO,REF,PAC,44,ORELHA MÉDIA,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TÍMPANO-MASTOIDECTOMIA,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,ORELHA MÉDIA,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TIMPANOPLASTIA - MIRINGOPLASTIA,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,ORELHA MÉDIA,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TIMPANOPLASTIA COM RECONSTRUÇÃO DA CADEIA OSSICULAR,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,ORELHA MÉDIA,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TIMPANOTOMIA EXPLORADORA,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,ORELHA MÉDIA,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TIMPANOTOMIA PARA TUBO DE VENTILAÇÃO,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,ORELHA MÉDIA,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"DOENÇA DE MENIERE - TRATAMENTO CIRÚRGICO - DESCOMPRESSÃO DO SACO ENDOLINFÁTICO OU ""SHUNT""",NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,ORELHA INTERNA,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ENXERTO INTRATEMPORAL DO NERVO FACIAL,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,ORELHA INTERNA,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EXPLORAÇÃO E DESCOMPRESSÃO DO NERVO FACIAL,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,ORELHA INTERNA,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
IMPLANTE COCLEAR (COM DIRETRIZ DE UTILIZAÇÃO),NULL,NULL,NULL,NULL,HCO,HSO,REF,PAC,33,ORELHA INTERNA,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
LABIRINTECTOMIA (MEMBRANOSA OU ÓSSEA) - SEM AUDIÇÃO,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,ORELHA INTERNA,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
NEURECTOMIA VESTIBULAR PARA FOSSA MÉDIA OU POSTERIOR,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,ORELHA INTERNA,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
NEURECTOMIA VESTIBULAR TRANSLABIRÍNTICA - SEM AUDIÇÃO,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,ORELHA INTERNA,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RESSECÇÃO DO OSSO TEMPORAL,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,ORELHA INTERNA,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TUMOR DO NERVO ACÚSTICO - RESSECÇÃO,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,ORELHA INTERNA,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ABSCESSO OU HEMATOMA DE SEPTO NASAL - DRENAGEM COM OU SEM ANESTESIA GERAL,NULL,NULL,NULL,AMB,HCO,HSO,REF,NULL,NULL,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ALONGAMENTO DE COLUMELA EM PACIENTES COM LESÕES LABIO-PALATAIS,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA DE NARIZ,NULL,NULL,NULL,AMB,HCO,HSO,REF,NULL,NULL,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CAUTERIZAÇÃO DE EPISTAXE COM OU SEM MICROSCOPIA,NULL,NULL,NULL,AMB,HCO,HSO,REF,NULL,NULL,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CORNETO INFERIOR - CAUTERIZAÇÃO LINEAR E/OU INFILTRAÇÃO MEDICAMENTOSA,NULL,NULL,NULL,AMB,HCO,HSO,REF,NULL,NULL,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"EPISTAXE - CAUTERIZAÇÃO DA ARTÉRIA ESFENOPALATINA COM OU SEM MICROSCOPIA PORVIDEOENDOSCOPIA",NULL,NULL,NULL,AMB,HCO,HSO,REF,NULL,NULL,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EPISTAXE - LIGADURA DAS ARTÉRIAS ETMOIDAIS,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"EPISTAXE - TAMPONAMENTO ANTERO-POSTERIOR, COM OU SEM ANESTESIA GERAL",NULL,NULL,NULL,AMB,HCO,HSO,REF,NULL,NULL,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EPISTAXE - TAMPONAMENTO ANTERIOR,NULL,NULL,NULL,AMB,HCO,HSO,REF,NULL,NULL,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EXÉRESE DE TUMOR COM ABORDAGEM CRANIOFACIAL ONCOLÓGICA (TEMPO FACIAL) PIRÂMIDE NASAL,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EXÉRESE DE TUMOR NASAL POR VIA ENDOSCOPICA,NULL,NULL,NULL,AMB,HCO,HSO,REF,NULL,NULL,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FECHAMENTO DE FÍSTULA LIQUÓRICA TRANSNASAL,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FÍSTULA LIQUÓRICA - TRATAMENTO CIRÚRGICO ENDOSCÓPICO,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURAS DOS OSSOS NASAIS - REDUÇÃO CIRÚRGICA E GESSO,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURAS DOS OSSOS NASAIS - REDUÇÃO INCRUENTA E GESSO,NULL,NULL,NULL,AMB,HCO,HSO,REF,NULL,NULL,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
IMPERFURAÇÃO COANAL - CORREÇÃO CIRÚRGICA INTRANASAL OU TRANSPALATINA,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
IMPERFURAÇÃO COANAL - CORREÇÃO CIRURGICA INTRANASAL POR VIDEOENDOSCOPIA,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
OZENA - TRATAMENTO CIRÚRGICO,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PERFURAÇÃO DO SEPTO NASAL - CORREÇÃO CIRÚRGICA,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
POLIPECTOMIA,NULL,NULL,NULL,AMB,HCO,HSO,REF,NULL,NULL,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RECONSTRUÇÃO NASAL,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RESSECÇÃO DE SINÉQUIAS,NULL,NULL,NULL,AMB,HCO,HSO,REF,NULL,NULL,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RESSECÇÃO DE TUMORES MALIGNOS TRANSNASAIS,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"RETIRADA DE CORPO ESTRANHO DE NARIZ, COM OU SEM ANESTESIA GERAL",NULL,NULL,NULL,AMB,HCO,HSO,REF,NULL,NULL,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"RETIRADA DE CORPO ESTRANHO DE NARIZ, COM OU SEM ANESTESIA GERAL POR VIDEOENDOSCOPIA",NULL,NULL,NULL,AMB,HCO,HSO,REF,NULL,NULL,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RINECTOMIA,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RINOSSEPTOPLASTIA FUNCIONAL,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
SEPTOPLASTIA,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO DA ATRESIA NARINÁRIA,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO DE DEFORMIDADE NASAL CONGÊNITA,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO DO RINOFIMA,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO DE DEFORMIDADE TRAUMÁTICA NASAL,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TUMOR INTRANASAL - EXÉRESE POR RINOTOMIA LATERAL,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TUMOR INTRANASAL - EXÉRESE POR VIA TRANSNASAL,NULL,NULL,NULL,AMB,HCO,HSO,REF,NULL,NULL,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TURBINECTOMIA OU TURBINOPLASTIA,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ANTROSTOMIA MAXILAR INTRANASAL,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"ANTROSTOMIA MAXILAR, ETMOIDECTOMIA (ABERTURA DE TODAS AS CAVIDADES PARANASAIS)",NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ARTÉRIA MAXILAR INTERNA - LIGADURA TRANSMAXILAR,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIOPSIA - SEIOS PARANASAIS,NULL,NULL,NULL,AMB,HCO,HSO,REF,NULL,NULL,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DESCOMPRESSÃO TRANSETMOIDAL DO CANAL ÓPTICO,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ETMOIDECTOMIA EXTERNA OU INTRANASAL,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ETMOIDECTOMIA INTRANASAL POR VIDEOENDOSCOPIA,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EXÉRESE - PÓLIPO,NULL,NULL,NULL,AMB,HCO,HSO,REF,NULL,NULL,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EXÉRESE DE CISTO NASO-ALVEOLAR E GLOBULAR,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EXÉRESE DE TUMOR COM ABORDAGEM CRANIOFACIAL ONCOLÓGICA (TEMPO FACIAL),NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EXÉRESE DE TUMOR DE SEIOS PARANASAIS POR VIA ENDOSCOPICA,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
MAXILECTOMIA COM OU SEM EXENTERAÇÃO DE ÓRBITA,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PUNÇÃO MAXILAR TRANSMEÁTICA OU VIA FOSSA CANINA,NULL,NULL,NULL,AMB,HCO,HSO,REF,NULL,NULL,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RESSECÇÃO DE ANGIOFIBROMA,NULL,NULL,NULL,NULL,HCO,HSO,REF,NULL,NULL,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
